initial: 101 - diverse_no_blind_seed
[2022-04-09 22:39:33.100719]Total energy: 19639662.857319497
[2022-04-09 22:41:30.988844]Total energy: 19692360.269689675
[2022-04-09 22:43:25.099154]Total energy: 19744023.91359463
[2022-04-09 22:45:06.964435]Total energy: 19669514.908655018
[2022-04-09 22:46:41.746109]Total energy: 19700380.826317687
[2022-04-09 22:48:17.886701]Total energy: 19636180.207683265
[2022-04-09 22:49:51.516242]Total energy: 19695706.2171329
[2022-04-09 22:51:24.128684]Total energy: 19743902.535668388
[2022-04-09 22:53:00.383891]Total energy: 19687661.610511806
[2022-04-09 22:54:40.771437]Total energy: 19667584.054921072
[2022-04-09 22:56:23.961818]Total energy: 19691446.798110615
[2022-04-09 22:58:09.223650]Total energy: 19702330.333350603
[2022-04-09 22:59:47.767092]Total energy: 19685366.80607828
[2022-04-09 23:01:36.095939]Total energy: 19695331.65253931
[2022-04-09 23:03:12.003329]Total energy: 19666590.854460716
[2022-04-09 23:04:49.723621]Total energy: 19663014.503082745
[2022-04-09 23:06:35.098339]Total energy: 19728481.762686368
[2022-04-09 23:08:16.558712]Total energy: 19640434.065348223
[2022-04-09 23:09:53.317625]Total energy: 19723728.741760552
[2022-04-09 23:11:30.432579]Total energy: 19625893.903825562
[2022-04-09 23:13:06.904500]Total energy: 19706742.364787415
[2022-04-09 23:14:46.452375]Total energy: 19731160.679720014
[2022-04-09 23:16:25.607004]Total energy: 19733431.150459547
[2022-04-09 23:18:03.061559]Total energy: 19750151.5919381
[2022-04-09 23:19:41.439612]Total energy: 19611295.701464336
[2022-04-09 23:21:29.138548]Total energy: 19689958.569233168
[2022-04-09 23:23:07.537257]Total energy: 19743894.433828402
[2022-04-09 23:24:51.232742]Total energy: 19729532.755328093
[2022-04-09 23:26:26.608325]Total energy: 19725441.985781316
[2022-04-09 23:27:52.784250]Total energy: 19630337.63559982
[2022-04-09 23:29:19.970156]Total energy: 19656927.372997463
[2022-04-09 23:31:10.924987]Total energy: 19685987.415134225
[2022-04-09 23:32:54.770269]Total energy: 19723097.6979284
[2022-04-09 23:34:45.555113]Total energy: 19717103.579696473
[2022-04-09 23:36:42.461478]Total energy: 19683659.868940186
[2022-04-09 23:38:32.980619]Total energy: 19669523.381803855
[2022-04-09 23:40:09.712147]Total energy: 19696010.05674019
[2022-04-09 23:41:47.826148]Total energy: 19749081.203101948
[2022-04-09 23:43:28.250301]Total energy: 19683830.692502122
[2022-04-09 23:45:04.629745]Total energy: 19682865.751126193
[2022-04-09 23:46:32.775868]Total energy: 19632487.55255766
[2022-04-09 23:48:00.926940]Total energy: 19656372.57637999
[2022-04-09 23:49:27.970818]Total energy: 19682464.93179373
[2022-04-09 23:51:09.971800]Total energy: 19601193.638701744
[2022-04-09 23:52:54.826362]Total energy: 19644469.934025116
[2022-04-09 23:54:26.245616]Total energy: 19679455.81381914
[2022-04-09 23:55:52.216903]Total energy: 19604086.43317816
[2022-04-09 23:57:20.646402]Total energy: 19671403.173480913
[2022-04-09 23:58:45.763082]Total energy: 19629631.439216517
[2022-04-10 00:00:09.588121]Total energy: 19586076.521921076
[2022-04-10 00:01:46.614523]Total energy: 19648783.44424787
[2022-04-10 00:03:27.625024]Total energy: 19637161.33381418
[2022-04-10 00:05:05.979130]Total energy: 19657195.490649235
[2022-04-10 00:06:34.034745]Total energy: 19580812.02938035
[2022-04-10 00:08:02.367858]Total energy: 19647617.108815905
[2022-04-10 00:09:34.228701]Total energy: 19669638.586994365
[2022-04-10 00:11:35.527430]Total energy: 19661469.193338085
[2022-04-10 00:13:26.568558]Total energy: 19609629.96644139
[2022-04-10 00:15:08.987412]Total energy: 19743054.964711357
[2022-04-10 00:16:40.723918]Total energy: 19672603.77424339
[2022-04-10 00:18:13.763407]Total energy: 19608104.23669498
[2022-04-10 00:19:46.936728]Total energy: 19605873.72029486
[2022-04-10 00:21:35.156844]Total energy: 19700423.74591296
[2022-04-10 00:23:26.287913]Total energy: 19666165.40085682
[2022-04-10 00:25:06.809502]Total energy: 19569010.79384993
[2022-04-10 00:26:45.167629]Total energy: 19579262.98348588
[2022-04-10 00:28:11.815836]Total energy: 19513441.720578827
[2022-04-10 00:29:37.100387]Total energy: 19380617.726987436
[2022-04-10 00:31:03.372812]Total energy: 19438526.708194245
[2022-04-10 00:32:27.989820]Total energy: 19430771.492597748
[2022-04-10 00:33:53.774105]Total energy: 19321370.587116927
[2022-04-10 00:35:20.195788]Total energy: 19483160.674381986
[2022-04-10 00:36:40.052549]Total energy: 19548892.181613438
[2022-04-10 00:38:05.263276]Total energy: 19562812.622831054
[2022-04-10 00:39:29.553604]Total energy: 19569637.548224278
[2022-04-10 00:41:17.188347]Total energy: 19472537.787752002
[2022-04-10 00:43:08.322162]Total energy: 19509544.560641848
[2022-04-10 00:44:49.884010]Total energy: 19534284.397555318
[2022-04-10 00:46:15.535187]Total energy: 19591116.00923241
[2022-04-10 00:47:44.940862]Total energy: 19486932.08371859
[2022-04-10 00:49:15.100340]Total energy: 19499081.6605298
[2022-04-10 00:51:14.747433]Total energy: 19517275.404692616
[2022-04-10 00:53:08.896151]Total energy: 19459850.008943323
[2022-04-10 00:54:50.141193]Total energy: 19498115.1147177
[2022-04-10 00:56:31.950356]Total energy: 19498477.429727133
[2022-04-10 00:58:14.408247]Total energy: 19484422.61823832
[2022-04-10 00:59:48.520785]Total energy: 19601531.66078
[2022-04-10 01:01:14.205810]Total energy: 19509959.766118333
[2022-04-10 01:02:39.589591]Total energy: 19538167.3171671
[2022-04-10 01:04:05.175703]Total energy: 19517090.67405808
