initial: all - diverse_all
[2022-04-08 04:06:08.932998]Total energy: 16918005.827040307
[2022-04-08 04:07:26.568010]Total energy: 16927906.9942694
[2022-04-08 04:08:45.044148]Total energy: 16909737.01198859
[2022-04-08 04:10:02.770644]Total energy: 16877055.153211318
[2022-04-08 04:11:34.498953]Total energy: 16876634.824356746
[2022-04-08 04:12:57.666786]Total energy: 16924262.54230269
[2022-04-08 04:14:15.332123]Total energy: 16950884.95160404
[2022-04-08 04:15:37.106560]Total energy: 16902596.183458477
[2022-04-08 04:16:55.278921]Total energy: 16907942.395572945
[2022-04-08 04:18:13.099191]Total energy: 16887040.56946409
[2022-04-08 04:19:34.074782]Total energy: 16874108.776060835
[2022-04-08 04:20:51.976803]Total energy: 16909061.987873945
[2022-04-08 04:22:11.173897]Total energy: 16869310.784002457
[2022-04-08 04:23:29.131517]Total energy: 16865006.54106476
[2022-04-08 04:24:49.789942]Total energy: 16925985.25482524
[2022-04-08 04:26:09.167792]Total energy: 16911846.339492742
[2022-04-08 04:27:26.335898]Total energy: 16862519.29451272
[2022-04-08 04:28:47.131387]Total energy: 16870190.395580027
[2022-04-08 04:30:06.113351]Total energy: 16871916.2625358
[2022-04-08 04:31:34.090897]Total energy: 16880754.870552264
[2022-04-08 04:32:55.719102]Total energy: 16888156.683042917
[2022-04-08 04:34:14.105645]Total energy: 16873785.31389128
[2022-04-08 04:35:33.656524]Total energy: 16863428.393864483
[2022-04-08 04:36:51.809767]Total energy: 16875228.976946425
[2022-04-08 04:38:11.992388]Total energy: 16928664.220452584
[2022-04-08 04:39:30.582034]Total energy: 16884449.645022605
[2022-04-08 04:41:09.392446]Total energy: 16883881.388272304
[2022-04-08 04:42:41.295825]Total energy: 16847089.59868819
[2022-04-08 04:44:09.059165]Total energy: 16874092.725065228
[2022-04-08 04:45:37.385508]Total energy: 16860741.962245796
[2022-04-08 04:46:55.210811]Total energy: 16864549.229793884
[2022-04-08 04:48:15.036931]Total energy: 16879468.366415545
[2022-04-08 04:49:35.108148]Total energy: 16873787.656159252
[2022-04-08 04:51:15.299729]Total energy: 16879770.687139038
[2022-04-08 04:52:54.173097]Total energy: 16888416.33782101
[2022-04-08 04:54:21.575843]Total energy: 16900957.096885227
[2022-04-08 04:55:43.081710]Total energy: 16807131.737440065
[2022-04-08 04:57:01.641687]Total energy: 16876759.437217705
[2022-04-08 04:58:20.049729]Total energy: 16913219.413848236
[2022-04-08 04:59:38.268505]Total energy: 16880227.869930573
[2022-04-08 05:00:57.488283]Total energy: 16868632.710430436
[2022-04-08 05:02:15.663930]Total energy: 16879387.775446378
[2022-04-08 05:03:33.331527]Total energy: 16913111.41081462
[2022-04-08 05:04:51.133832]Total energy: 16878515.508184124
[2022-04-08 05:06:12.065805]Total energy: 16857605.58247476
[2022-04-08 05:07:30.277055]Total energy: 16870325.463890284
[2022-04-08 05:08:46.705457]Total energy: 16853210.341272924
[2022-04-08 05:10:05.204132]Total energy: 16875174.009007037
[2022-04-08 05:11:29.681372]Total energy: 16895234.01224569
[2022-04-08 05:12:54.466623]Total energy: 16873204.58478701
[2022-04-08 05:14:14.761320]Total energy: 16846800.572759297
[2022-04-08 05:15:32.493236]Total energy: 16854391.87904894
[2022-04-08 05:16:50.566636]Total energy: 16856745.33401156
[2022-04-08 05:18:10.736176]Total energy: 16853718.699090216
[2022-04-08 05:19:29.677079]Total energy: 16881452.261780262
[2022-04-08 05:20:47.976138]Total energy: 16914444.66660709
[2022-04-08 05:22:06.175530]Total energy: 16908936.583312426
[2022-04-08 05:23:25.136939]Total energy: 16907369.51348927
[2022-04-08 05:24:43.016783]Total energy: 16854914.421259668
[2022-04-08 05:26:01.581899]Total energy: 16868638.030047815
[2022-04-08 05:27:20.838970]Total energy: 16916897.715753272
[2022-04-08 05:28:40.507662]Total energy: 16909974.695622716
[2022-04-08 05:29:59.208660]Total energy: 16873019.697791763
[2022-04-08 05:31:26.140021]Total energy: 16839099.881035212
[2022-04-08 05:32:47.360149]Total energy: 16837941.192071352
[2022-04-08 05:34:06.307774]Total energy: 16875451.49174023
[2022-04-08 05:35:30.249342]Total energy: 16865660.879742067
[2022-04-08 05:36:49.239997]Total energy: 16870296.615471542
[2022-04-08 05:38:10.545599]Total energy: 16908590.02143302
[2022-04-08 05:39:29.199323]Total energy: 16899605.227739565
[2022-04-08 05:40:57.160069]Total energy: 16877094.625443093
[2022-04-08 05:42:27.801577]Total energy: 16873072.16522095
[2022-04-08 05:43:48.281336]Total energy: 16873496.891603943
[2022-04-08 05:45:12.737030]Total energy: 16872117.056253806
[2022-04-08 05:46:31.496300]Total energy: 16870724.0466618
[2022-04-08 05:47:50.414989]Total energy: 16891739.307513278
[2022-04-08 05:49:09.819028]Total energy: 16864677.712241292
[2022-04-08 05:50:30.266124]Total energy: 16847889.328599412
[2022-04-08 05:51:48.511039]Total energy: 16920563.067438666
[2022-04-08 05:53:06.842799]Total energy: 16883153.67655841
[2022-04-08 05:54:26.409461]Total energy: 16848434.515900515
[2022-04-08 05:55:44.588448]Total energy: 16902799.919322547
[2022-04-08 05:57:02.373366]Total energy: 16936340.343141496
[2022-04-08 05:58:20.651468]Total energy: 16918167.27384713
[2022-04-08 05:59:39.138567]Total energy: 16882333.178072993
[2022-04-08 06:01:04.610040]Total energy: 16827916.12911599
[2022-04-08 06:02:23.901905]Total energy: 16867791.152866002
[2022-04-08 06:03:43.193167]Total energy: 16829311.60114618
