initial: all - diverse_no_blind_all
[2022-04-09 21:16:32.639794]Total energy: 16819571.446336623
[2022-04-09 21:17:48.051666]Total energy: 16806183.360997938
[2022-04-09 21:19:06.622260]Total energy: 16816317.93990283
[2022-04-09 21:20:29.797658]Total energy: 16818311.98783187
[2022-04-09 21:22:11.883574]Total energy: 16800081.61223653
[2022-04-09 21:23:40.318524]Total energy: 16817068.220774025
[2022-04-09 21:25:03.398138]Total energy: 16850531.470245797
[2022-04-09 21:26:20.458873]Total energy: 16835566.744778764
[2022-04-09 21:27:38.331290]Total energy: 16842083.86601649
[2022-04-09 21:28:55.477870]Total energy: 16823839.458127327
[2022-04-09 21:30:17.763612]Total energy: 16828282.44201382
[2022-04-09 21:31:58.960767]Total energy: 16801000.216739904
[2022-04-09 21:33:40.247041]Total energy: 16822857.978850354
[2022-04-09 21:35:14.090721]Total energy: 16811878.096836533
[2022-04-09 21:36:52.745303]Total energy: 16808737.18766782
[2022-04-09 21:38:15.713073]Total energy: 16804379.75744597
[2022-04-09 21:39:35.172036]Total energy: 16811861.50787341
[2022-04-09 21:41:23.213405]Total energy: 16842605.580148783
[2022-04-09 21:43:00.094759]Total energy: 16784110.841670457
[2022-04-09 21:44:29.755953]Total energy: 16812828.84134479
[2022-04-09 21:45:48.977523]Total energy: 16762584.089267379
[2022-04-09 21:47:09.767856]Total energy: 16804069.53646813
[2022-04-09 21:48:31.956414]Total energy: 16751259.658281552
[2022-04-09 21:49:54.349732]Total energy: 16778977.371251702
[2022-04-09 21:51:37.688990]Total energy: 16810269.802246634
[2022-04-09 21:53:17.535667]Total energy: 16781972.13265571
[2022-04-09 21:54:44.167763]Total energy: 16793261.711663585
[2022-04-09 21:56:05.727257]Total energy: 16829469.22929219
[2022-04-09 21:57:26.104492]Total energy: 16776238.518246716
[2022-04-09 21:58:48.473870]Total energy: 16835232.70068608
[2022-04-09 22:00:10.149616]Total energy: 16837538.800917417
[2022-04-09 22:01:40.947587]Total energy: 16793496.04759028
[2022-04-09 22:03:12.302781]Total energy: 16817399.942850966
[2022-04-09 22:04:49.432329]Total energy: 16774799.09881896
[2022-04-09 22:06:28.777052]Total energy: 16826151.08610481
[2022-04-09 22:07:59.417677]Total energy: 16817154.911094133
[2022-04-09 22:09:22.424117]Total energy: 16781571.564695496
[2022-04-09 22:11:03.299589]Total energy: 16790425.75925416
[2022-04-09 22:12:41.681802]Total energy: 16797041.449040994
[2022-04-09 22:14:17.296497]Total energy: 16807026.770909317
[2022-04-09 22:15:48.601867]Total energy: 16782476.24737327
[2022-04-09 22:17:12.792328]Total energy: 16783314.564465556
[2022-04-09 22:18:41.505125]Total energy: 16777911.435809866
[2022-04-09 22:20:05.020804]Total energy: 16774762.471681165
[2022-04-09 22:21:47.500795]Total energy: 16794074.270253833
[2022-04-09 22:23:26.835140]Total energy: 16781554.598748654
[2022-04-09 22:24:53.241505]Total energy: 16788791.05808365
[2022-04-09 22:26:18.410374]Total energy: 16813448.581034523
[2022-04-09 22:27:48.485214]Total energy: 16839866.480425373
[2022-04-09 22:29:18.805721]Total energy: 16774801.537431546
[2022-04-09 22:31:13.549795]Total energy: 16786782.493313037
[2022-04-09 22:32:58.366161]Total energy: 16834482.01495225
[2022-04-09 22:34:23.891138]Total energy: 16780799.0548001
[2022-04-09 22:35:52.416765]Total energy: 16782461.99451952
[2022-04-09 22:37:23.244209]Total energy: 16793252.073497336
[2022-04-09 22:38:50.038486]Total energy: 16850366.146269787
[2022-04-09 22:40:17.910789]Total energy: 16797855.69752713
[2022-04-09 22:41:59.318119]Total energy: 16803616.129960135
[2022-04-09 22:43:36.550197]Total energy: 16811150.312245596
[2022-04-09 22:45:04.572343]Total energy: 16826924.362297393
[2022-04-09 22:46:28.430088]Total energy: 16760491.196013115
[2022-04-09 22:47:58.739448]Total energy: 16793406.11762429
[2022-04-09 22:49:26.760045]Total energy: 16740590.989572177
[2022-04-09 22:51:03.291695]Total energy: 16745602.461364975
[2022-04-09 22:52:29.396167]Total energy: 16802805.72121078
[2022-04-09 22:53:56.476318]Total energy: 16759640.099794816
[2022-04-09 22:55:26.838905]Total energy: 16784288.720557485
[2022-04-09 22:56:58.456793]Total energy: 16770475.6728462
[2022-04-09 22:58:19.415314]Total energy: 16806394.86044575
[2022-04-09 22:59:46.593748]Total energy: 16772398.21091547
[2022-04-09 23:01:29.729863]Total energy: 16769710.194376409
[2022-04-09 23:03:06.926723]Total energy: 16788726.83896817
[2022-04-09 23:04:41.970373]Total energy: 16747742.820325421
[2022-04-09 23:06:14.162703]Total energy: 16830756.202197723
[2022-04-09 23:07:40.071560]Total energy: 16769618.061944764
[2022-04-09 23:09:04.644460]Total energy: 16757817.29766599
[2022-04-09 23:10:28.581651]Total energy: 16766569.55235179
[2022-04-09 23:11:47.351031]Total energy: 16756172.598203955
[2022-04-09 23:13:05.349186]Total energy: 16780571.33382349
[2022-04-09 23:14:27.921226]Total energy: 16772768.989868945
[2022-04-09 23:15:44.876392]Total energy: 16810929.777073793
[2022-04-09 23:17:01.388956]Total energy: 16792405.637150843
[2022-04-09 23:18:19.837845]Total energy: 16794041.977041725
[2022-04-09 23:19:37.589822]Total energy: 16789143.314114545
[2022-04-09 23:21:05.688833]Total energy: 16788411.36616713
[2022-04-09 23:22:31.001797]Total energy: 16798818.588972334
[2022-04-09 23:23:59.235451]Total energy: 16808351.21510794
[2022-04-09 23:25:28.789223]Total energy: 16790518.690436706
[2022-04-09 23:26:49.779356]Total energy: 16766529.969870728
[2022-04-09 23:28:08.727166]Total energy: 16768761.644367186
[2022-04-09 23:29:28.302427]Total energy: 16758280.572310513
[2022-04-09 23:31:16.513672]Total energy: 16801983.104187675
[2022-04-09 23:32:53.816216]Total energy: 16817944.45413225
[2022-04-09 23:34:29.039775]Total energy: 16807989.1476256
[2022-04-09 23:35:58.468009]Total energy: 16836507.97427101
[2022-04-09 23:37:33.804096]Total energy: 16806142.974742237
[2022-04-09 23:39:11.001706]Total energy: 16775399.27742704
[2022-04-09 23:40:38.377461]Total energy: 16785214.83844219
[2022-04-09 23:41:59.856670]Total energy: 16781061.767083444
[2022-04-09 23:43:18.729649]Total energy: 16778949.609128077
[2022-04-09 23:44:36.771804]Total energy: 16792266.503240313
[2022-04-09 23:45:56.727801]Total energy: 16788432.06775599
[2022-04-09 23:47:18.081002]Total energy: 16777546.266608372
[2022-04-09 23:48:40.579644]Total energy: 16803506.93893746
[2022-04-09 23:50:01.088966]Total energy: 16746512.526616031
[2022-04-09 23:51:25.592103]Total energy: 16792532.993886035
[2022-04-09 23:52:57.800492]Total energy: 16771518.016807023
[2022-04-09 23:54:23.837992]Total energy: 16769335.695186961
[2022-04-09 23:55:44.129560]Total energy: 16834222.8760039
[2022-04-09 23:57:06.191287]Total energy: 16792934.712768737
[2022-04-09 23:58:28.401227]Total energy: 16769989.353195073
[2022-04-09 23:59:49.270243]Total energy: 16833832.901627053
[2022-04-10 00:01:12.128616]Total energy: 16779046.41784154
[2022-04-10 00:02:37.291229]Total energy: 16761099.550534703
[2022-04-10 00:04:05.851071]Total energy: 16774706.909898
[2022-04-10 00:05:32.635034]Total energy: 16795702.036753334
[2022-04-10 00:06:55.303362]Total energy: 16787536.5716877
[2022-04-10 00:08:17.443132]Total energy: 16849232.35997786
[2022-04-10 00:09:40.011816]Total energy: 16826398.56013819
[2022-04-10 00:11:18.254431]Total energy: 16787230.88532531
[2022-04-10 00:12:53.516609]Total energy: 16746353.224907152
[2022-04-10 00:14:33.074000]Total energy: 16768250.096350523
[2022-04-10 00:16:00.706266]Total energy: 16793682.80325037
[2022-04-10 00:17:25.818938]Total energy: 16795812.10608858
[2022-04-10 00:18:48.588905]Total energy: 16780809.01508479
[2022-04-10 00:20:08.686247]Total energy: 16792099.94578939
[2022-04-10 00:21:46.949108]Total energy: 16792889.319757495
[2022-04-10 00:23:14.481369]Total energy: 16785676.411007077
[2022-04-10 00:24:46.463036]Total energy: 16803544.126481745
[2022-04-10 00:26:08.765002]Total energy: 16779868.474199187
[2022-04-10 00:27:28.296664]Total energy: 16784630.03711601
[2022-04-10 00:28:47.817555]Total energy: 16799360.567563716
[2022-04-10 00:30:07.128383]Total energy: 16791202.043189075
[2022-04-10 00:31:24.311933]Total energy: 16811757.792220708
[2022-04-10 00:32:43.568984]Total energy: 16808835.733150236
[2022-04-10 00:34:05.281832]Total energy: 16782770.95801448
[2022-04-10 00:35:27.757544]Total energy: 16774327.682014525
[2022-04-10 00:36:49.529617]Total energy: 16731862.871878205
[2022-04-10 00:38:10.544925]Total energy: 16848262.168307874
[2022-04-10 00:39:33.760663]Total energy: 16783778.797971047
[2022-04-10 00:41:20.447293]Total energy: 16880159.812463522
[2022-04-10 00:42:55.430832]Total energy: 16835941.04775476
[2022-04-10 00:44:29.299807]Total energy: 16887495.87811278
[2022-04-10 00:45:51.758643]Total energy: 16850365.832617447
